State_Name,ind_district,X2,Y,X1,X3,X4
Tamil Nadu,coimbatore,15034,51575,57670,3111.455,2502.734
Tamil Nadu,coimbatore,16875,60494,51575,2177.803,3111.455
Tamil Nadu,coimbatore,12170,47066,60494,2351.395,2177.803
Tamil Nadu,coimbatore,10548,37200,47066,2308.308,2351.395
Tamil Nadu,coimbatore,6577,22152,37200,1838.713,2308.308
Tamil Nadu,coimbatore,3654,10643,22152,,
Tamil Nadu,coimbatore,7239,24454,10643,,
Tamil Nadu,coimbatore,7406,20665,24454,1004.6,714
Tamil Nadu,coimbatore,6221,24009,20665,765.6,1004.6
Tamil Nadu,coimbatore,6479,24456,24009,722.3,765.6
Tamil Nadu,coimbatore,2573,25437,24456,1234.4,722.3
Tamil Nadu,coimbatore,2817,9884,25437,1230.1,1234.4
Tamil Nadu,coimbatore,2666,10419,9884,731.4,1230.1
Tamil Nadu,coimbatore,2629,10486,10419,,731.4
Tamil Nadu,coimbatore,2156,7890,10486,,
Tamil Nadu,coimbatore,2158,10139,7890,,
