State_Name,ind_district,X2,Y,X1,X3,X4
Uttar Pradesh,ghazipur,134838,298115,,835.689,952.049
Uttar Pradesh,ghazipur,134616,265915,298115,738.389,835.689
Uttar Pradesh,ghazipur,136533,314658,265915,717.365,738.389
Uttar Pradesh,ghazipur,137877,261830,314658,579.414,717.365
Uttar Pradesh,ghazipur,156348,343647,261830,671.436,579.414
Uttar Pradesh,ghazipur,151011,298868,343647,764.255,671.436
Uttar Pradesh,ghazipur,155599,344404,298868,,
Uttar Pradesh,ghazipur,151689,157236,344404,,
Uttar Pradesh,ghazipur,144930,278990,157236,666.7,381.8
Uttar Pradesh,ghazipur,149754,288576,278990,814.2,666.7
Uttar Pradesh,ghazipur,149871,324021,288576,,814.2
Uttar Pradesh,ghazipur,151654,339402,324021,,
Uttar Pradesh,ghazipur,121103,224041,339402,643.6,
Uttar Pradesh,ghazipur,149321,314321,224041,754.4,643.6
Uttar Pradesh,ghazipur,154085,336830,314321,,754.4
Uttar Pradesh,ghazipur,149175,348622,336830,,
Uttar Pradesh,ghazipur,148895,318040,348622,,
Uttar Pradesh,ghazipur,136673,294257,318040,,
