State_Name,ind_district,X2,Y,X1,X3,X4
Uttar Pradesh,bareilly,162862,376411,,668.425,1033.799
Uttar Pradesh,bareilly,172969,361703,776,894.622,668.425
Uttar Pradesh,bareilly,181820,386081,378,766.499,894.622
Uttar Pradesh,bareilly,179743,348088,219,637.4,766.499
Uttar Pradesh,bareilly,175784,363683,267,553.13,637.4
Uttar Pradesh,bareilly,122792,229487,325,624.639,553.13
Uttar Pradesh,bareilly,159862,338695,465,,
Uttar Pradesh,bareilly,187526,359792,578,,
Uttar Pradesh,bareilly,159862,301819,359792,895,767.4
Uttar Pradesh,bareilly,187526,335484,301819,696.3,895
Uttar Pradesh,bareilly,151272,292711,726,1040.1,696.3
Uttar Pradesh,bareilly,186648,326447,737,1356.2,1040.1
Uttar Pradesh,bareilly,149116,266321,1744,894.2,1356.2
Uttar Pradesh,bareilly,163015,270279,2016,1430.2,894.2
Uttar Pradesh,bareilly,166888,420558,1716,,1430.2
Uttar Pradesh,bareilly,145203,324384,1598,,
Uttar Pradesh,bareilly,162916,366561,1749,,
Uttar Pradesh,bareilly,162390,334361,2677,,
