State_Name,ind_district,X2,Y,X1,X3,X4
Maharashtra,sindhudurg,75300,196900,,,
Maharashtra,sindhudurg,75600,208200,82,,
Maharashtra,sindhudurg,75400,172400,10100,,
Maharashtra,sindhudurg,75400,187300,8900,,
Maharashtra,sindhudurg,74300,189400,10200,,
Maharashtra,sindhudurg,74500,163300,8000,,
Maharashtra,sindhudurg,74700,236900,9000,,
Maharashtra,sindhudurg,74500,210800,8500,,
Maharashtra,sindhudurg,74500,215400,8500,2976.8,2609.6
Maharashtra,sindhudurg,74700,220400,8800,2825.1,2976.8
Maharashtra,sindhudurg,749,2051,8800,3102.2,2825.1
Maharashtra,sindhudurg,74400,208000,2051,3058.9,3102.2
Maharashtra,sindhudurg,74600,196200,208000,3649.3,3058.9
Maharashtra,sindhudurg,73900,197000,196200,4755.7,3649.3
Maharashtra,sindhudurg,74200,202500,197000,,4755.7
Maharashtra,sindhudurg,74200,207000,8600,,
Maharashtra,sindhudurg,74200,232800,6200,,
Maharashtra,sindhudurg,67400,222400,5600,,
